"Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365>2.5","B365<2.5","B365CH","B365CD","B365CA","SourceFile"
"E0",2019-10-27,16:30:00,"Arsenal","Crystal Palace",2,2,"D",2,1,"H","M Atkinson",15,10,6,4,18,9,12,5,2,0,0,0,1.45,4.75,6.5,1.53,2.5,1.44,4.75,6.5,"E0_1920.csv"
"E0",2019-10-27,16:30:00,"Liverpool","Tottenham",2,1,"H",0,1,"A","A Taylor",21,11,13,4,9,11,8,3,3,3,0,0,1.5,4.33,6.5,1.53,2.5,1.45,4.75,6.5,"E0_1920.csv"
"E0",2019-10-27,16:30:00,"Norwich","Man United",1,3,"A",0,2,"A","S Attwell",10,21,3,11,13,10,1,10,2,2,0,0,4.33,4,1.75,1.66,2.2,4.5,3.8,1.75,"E0_1920.csv"
"E0",2019-11-02,12:30:00,"Bournemouth","Man United",1,0,"H",1,0,"H","C Kavanagh",12,15,6,4,14,12,4,10,4,3,0,0,3.25,3.6,2.15,1.9,1.9,3.5,3.6,2.05,"E0_1920.csv"
"E0",2019-11-02,15:00:00,"Arsenal","Wolves",1,1,"D",1,0,"H","M Oliver",10,25,4,8,6,15,8,9,0,2,0,0,1.75,3.75,4.75,1.72,2.1,1.72,3.9,4.5,"E0_1920.csv"
"E0",2019-11-02,15:00:00,"Aston Villa","Liverpool",1,2,"A",1,0,"H","J Moss",5,25,2,6,12,9,2,10,1,2,0,0,9,5,1.33,1.44,2.75,9,6,1.28,"E0_1920.csv"
"E0",2019-11-02,15:00:00,"Brighton","Norwich",2,0,"H",0,0,"D","K Friend",21,7,5,0,11,8,8,3,0,1,0,0,1.72,4.2,4.33,1.66,2.2,1.55,4.33,5.5,"E0_1920.csv"
"E0",2019-11-02,15:00:00,"Man City","Southampton",2,1,"H",0,1,"A","L Mason",26,3,4,3,11,10,17,0,3,1,0,0,1.07,13,23,1.22,4.33,1.07,13,23,"E0_1920.csv"
"E0",2019-11-02,15:00:00,"Sheffield United","Burnley",3,0,"H",3,0,"H","S Hooper",13,6,6,0,8,12,7,6,1,2,0,0,2.25,3.2,3.4,2.3,1.61,2.25,3.25,3.25,"E0_1920.csv"
"E0",2019-11-02,15:00:00,"West Ham","Newcastle",2,3,"A",0,2,"A","S Attwell",16,12,6,9,10,7,7,3,2,1,0,0,1.75,3.8,4.5,1.8,2,1.75,3.8,4.5,"E0_1920.csv"
"E0",2019-11-02,17:30:00,"Watford","Chelsea",1,2,"A",0,1,"A","A Taylor",12,16,3,10,8,5,1,6,4,2,0,0,5,4.33,1.61,1.61,2.3,5,4.33,1.6,"E0_1920.csv"
"E0",2019-11-03,14:00:00,"Crystal Palace","Leicester",0,2,"A",0,0,"D","P Tierney",12,14,3,5,15,16,5,6,2,2,0,0,3.5,3.4,2.1,2,1.8,3.6,3.4,2.05,"E0_1920.csv"
"E0",2019-11-03,16:30:00,"Everton","Tottenham",1,1,"D",0,0,"D","M Atkinson",7,4,3,2,9,8,5,2,1,2,0,1,2.7,3.4,2.6,1.72,2.1,2.5,3.6,2.7,"E0_1920.csv"
"E0",2019-11-08,20:00:00,"Norwich","Watford",0,2,"A",0,1,"A","A Marriner",17,12,5,2,7,13,10,4,1,2,0,1,2.7,3.5,2.55,1.66,2.2,2.8,3.6,2.37,"E0_1920.csv"
"E0",2019-11-09,12:30:00,"Chelsea","Crystal Palace",2,0,"H",0,0,"D","M Dean",23,3,5,1,9,17,7,0,3,2,0,0,1.33,5,10,1.57,2.37,1.4,4.75,7.5,"E0_1920.csv"
"E0",2019-11-09,15:00:00,"Burnley","West Ham",3,0,"H",2,0,"H","K Friend",14,7,12,4,17,10,11,4,2,1,0,0,2.25,3.5,3.1,1.66,2.2,2.1,3.6,3.3,"E0_1920.csv"
"E0",2019-11-09,15:00:00,"Newcastle","Bournemouth",2,1,"H",1,1,"D","M Atkinson",20,16,9,3,10,5,5,4,2,0,0,0,2.55,3.25,2.8,2,1.8,2.55,3.25,2.8,"E0_1920.csv"
"E0",2019-11-09,15:00:00,"Southampton","Everton",1,2,"A",0,1,"A","P Tierney",4,24,3,5,12,12,5,9,1,1,0,0,2.9,3.3,2.45,1.9,1.9,3.1,3.5,2.25,"E0_1920.csv"
"E0",2019-11-09,15:00:00,"Tottenham","Sheffield United",1,1,"D",0,0,"D","G Scott",17,14,5,4,6,9,4,4,2,2,0,0,1.57,4,6,1.8,2,1.5,4.33,6.5,"E0_1920.csv"
"E0",2019-11-09,17:30:00,"Leicester","Arsenal",2,0,"H",0,0,"D","C Kavanagh",19,8,7,1,10,10,5,4,1,1,0,0,2,3.75,3.5,1.57,2.37,1.85,4,3.75,"E0_1920.csv"
